,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,,,,,,,,,,
0,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,27,28,29,30,30,29,28,28,29,29,30,31,32,32,32,32,32,37,39,39,39,39,40,38,36,34,30,28,30,48,49,49,49,49,49,49,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,
1,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,27,28,29,29,30,29,28,28,28,28,29,30,31,32,32,32,33,35,37,38,39,39,39,39,38,35,33,29,28,29,48,49,49,49,49,49,49,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,
2,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,26,26,27,28,29,29,29,29,28,27,28,28,29,31,32,32,32,32,34,35,37,38,38,38,39,38,37,35,32,29,28,29,48,48,48,48,48,48,48,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,,,,,,,,,,
3,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,26,27,27,28,29,29,29,28,27,27,28,28,29,31,32,32,32,32,34,36,37,38,38,38,38,38,36,34,31,28,28,29,47,48,48,48,48,48,48,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,,,,,,,,,,
4,20,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,26,26,27,28,28,29,29,28,28,27,27,28,29,30,31,32,32,32,32,34,35,37,37,37,38,38,37,35,33,30,27,28,29,47,47,47,47,47,47,47,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,,,,,,,,,,
5,20,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,26,26,27,28,28,28,28,28,27,26,27,28,29,31,31,31,31,32,33,34,36,37,37,37,37,37,36,35,32,29,26,27,30,46,47,47,47,47,47,47,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,,,,,,,,,,
6,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,26,27,27,28,28,28,28,27,27,26,27,28,30,31,31,31,31,32,33,35,36,36,37,37,37,37,36,34,31,29,26,27,45,46,46,46,46,46,46,46,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,,,,,,,,,,
7,20,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,24,24,25,25,25,25,25,25,26,26,27,27,27,28,28,27,27,26,26,27,29,30,30,31,31,31,32,33,35,36,36,36,36,36,36,35,33,31,28,26,27,45,45,46,46,46,46,46,46,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,,,,,,,,,,
8,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,26,26,26,27,27,27,27,27,27,26,26,26,28,30,30,30,30,31,31,32,33,35,35,36,36,36,36,36,34,32,30,27,26,27,44,45,45,45,45,45,45,45,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,,,,,,,,,,
9,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,26,26,26,27,27,27,27,27,26,26,25,27,29,30,30,30,30,30,31,32,33,35,35,35,35,36,36,35,33,31,29,26,26,27,44,45,45,45,45,45,45,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,,,,,,,,,,
10,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,24,24,24,24,25,25,25,25,25,26,26,26,26,27,27,27,26,26,25,25,28,29,29,29,30,30,30,31,32,34,35,35,35,35,35,35,34,33,31,28,25,25,43,43,44,44,44,44,44,44,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,,,,,,,,,,
11,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,24,24,24,24,25,25,25,25,25,26,26,26,26,26,26,26,26,25,25,26,29,29,29,29,29,30,30,31,33,34,34,34,34,35,35,35,33,32,30,27,25,25,42,43,44,44,44,44,44,44,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,,,,,,,,,
12,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,24,24,24,24,24,24,25,25,25,25,26,26,26,26,26,26,25,25,25,28,28,29,29,29,29,30,30,31,33,34,34,34,34,34,34,34,33,31,29,27,24,25,42,42,43,43,43,43,43,43,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,,,,,,,,,,
13,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,24,24,24,24,24,24,25,25,25,25,25,26,26,26,26,25,25,24,26,28,28,28,29,29,29,29,30,32,33,33,33,34,34,34,34,33,32,30,28,26,24,25,41,42,43,43,43,43,43,43,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,,,,,,,,,,
14,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,24,24,24,24,24,24,24,25,25,25,25,25,26,26,25,25,24,25,27,28,28,28,28,29,29,30,31,32,33,33,33,33,33,34,33,33,31,29,27,25,24,40,41,42,42,42,42,42,42,42,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,,,,,,,,,,
15,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,23,23,23,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,24,27,27,27,28,28,28,28,29,30,31,32,32,33,33,33,33,33,33,32,30,29,27,24,24,40,40,41,42,42,42,42,42,42,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,,,,,,,,,,
16,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,24,25,25,25,25,25,25,24,26,27,27,27,27,28,28,28,29,30,31,32,32,32,32,32,33,33,32,31,30,28,26,23,23,39,40,41,41,41,41,41,41,41,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,,,,,,,,,,
17,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,25,25,25,25,24,24,26,26,27,27,27,28,28,28,29,30,31,32,32,32,32,32,32,32,31,30,29,27,25,23,24,39,40,40,41,41,41,41,41,41,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,,,,,,,,,,
18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,25,25,25,24,24,25,26,26,27,27,27,27,28,29,29,31,31,31,31,31,32,32,32,32,31,30,28,26,24,22,38,39,39,40,40,40,40,40,40,42,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,,,,,,,,,,
19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,25,25,24,24,25,25,26,26,26,27,27,27,28,28,30,30,31,31,31,31,31,31,32,31,30,29,27,25,23,22,37,38,39,40,40,40,40,40,40,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,,,,,,,,,,
20,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,22,23,23,22,22,22,23,23,23,23,23,24,24,24,25,24,24,24,25,25,25,26,26,27,27,27,28,29,30,30,30,30,31,31,31,31,31,30,29,28,26,25,23,22,37,38,39,39,39,39,39,39,39,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,,,,,,,,,
21,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,24,24,24,24,24,24,25,25,25,26,26,26,27,28,28,29,30,30,30,30,30,30,30,31,30,30,29,27,26,24,22,36,37,37,38,39,39,39,39,39,39,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,,,,,,,,,
22,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,24,24,24,24,24,24,24,25,25,25,26,26,26,27,28,28,29,29,29,30,30,30,30,30,30,30,29,28,26,25,23,21,36,36,37,38,38,38,38,38,38,38,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,,,,,,,,,,
23,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,24,24,24,24,24,24,24,24,25,25,25,26,26,27,28,28,29,29,29,29,29,29,30,30,30,29,28,27,26,24,22,21,35,36,37,37,38,38,38,38,38,38,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,,,,,,,,,,
24,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,21,21,21,22,22,22,22,22,23,24,24,24,24,23,23,24,24,24,25,25,25,26,27,27,28,28,29,29,29,29,29,29,29,29,29,28,27,26,25,23,21,34,35,36,36,37,37,37,37,37,37,37,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,,,,,,,,,,
25,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,23,23,24,24,24,23,23,23,23,24,24,25,25,26,26,26,27,28,28,28,28,28,28,29,29,29,29,28,28,27,25,24,22,21,34,34,35,36,37,37,37,37,37,37,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,,,,,,,,,,
26,19,19,19,19,18,18,18,18,18,19,19,19,19,19,19,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,23,24,24,23,23,23,23,23,23,24,24,25,25,26,26,27,27,27,28,28,28,28,28,28,28,29,28,28,27,26,25,23,22,20,33,34,35,35,36,36,36,36,36,36,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,,,,,,,,,,
27,18,18,18,18,18,18,18,18,18,18,19,19,19,19,20,20,20,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,23,23,23,23,23,23,22,23,23,23,24,24,25,25,26,26,27,27,27,27,27,28,28,28,28,28,28,28,27,26,25,24,22,21,33,33,34,34,35,36,36,36,36,36,36,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,,,,,,,,,,
28,18,18,18,18,18,18,18,18,18,18,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,20,20,20,21,21,21,21,22,23,23,23,23,23,23,22,22,22,23,23,24,24,25,25,26,26,26,27,27,27,27,27,27,27,28,28,28,27,26,25,24,23,22,20,32,33,33,34,35,35,35,35,35,35,35,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,,,,,,,,,,
29,18,18,18,18,18,18,18,18,18,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,22,23,23,23,23,23,22,22,22,22,22,23,23,24,24,25,25,26,26,26,26,26,27,27,27,27,27,27,27,27,27,26,25,24,22,21,31,32,32,33,34,34,35,35,35,35,35,35,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,,,,,,,,,,
30,17,17,17,17,18,18,18,18,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,22,22,22,22,22,22,22,22,22,22,22,22,23,24,24,25,25,25,25,26,26,26,26,26,26,26,27,27,27,27,27,26,25,24,23,22,20,31,31,32,33,33,34,34,34,34,34,34,35,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,,,,,,,,,,
31,17,17,17,17,18,18,18,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,22,22,22,22,22,22,22,22,21,21,22,22,23,23,24,24,25,25,25,25,25,25,26,26,26,26,26,26,26,27,27,26,25,24,23,22,21,30,30,31,32,32,33,34,34,34,34,34,34,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,,,,,,,,,,
32,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,22,22,22,22,22,22,21,21,21,21,22,22,23,23,24,24,24,25,25,25,25,25,25,25,26,26,26,26,26,27,27,26,25,24,23,22,21,30,30,31,31,32,33,33,33,33,33,33,33,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,,,,,,,,,
33,17,17,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,26,27,27,26,25,24,23,22,21,29,29,30,30,31,32,32,33,33,33,33,33,33,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,,,,,,,,,,
34,17,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,23,23,24,24,24,24,24,24,24,24,25,25,25,25,25,25,27,28,27,26,25,24,23,22,21,28,29,29,30,31,31,32,32,32,32,32,32,32,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,,,,,,,,,
35,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,21,21,21,21,21,21,21,21,21,20,21,22,22,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,25,25,29,28,27,26,25,23,22,21,27,28,28,29,30,30,31,32,32,32,32,32,32,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,,,,,,,,,,
36,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,22,22,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,25,29,28,28,27,26,24,23,22,27,27,28,28,29,29,30,31,31,31,31,31,31,31,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,,,,,,,,,,
37,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,24,24,25,29,28,28,27,26,25,25,25,26,26,27,27,28,28,29,30,30,31,31,31,31,31,31,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,,,,,,,,,,
38,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,21,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,24,29,28,27,27,26,25,24,25,25,25,26,26,27,28,28,29,29,30,30,30,30,30,30,31,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,,,,,,,,,,
39,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,21,21,21,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,29,28,28,27,27,26,25,25,24,24,25,25,26,26,27,27,28,28,29,30,30,30,30,30,30,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,,,,,,,,,,
40,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,23,28,28,27,27,27,26,25,25,24,24,24,24,25,25,26,26,27,27,28,29,29,29,29,29,29,29,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,,,,,,,,,,
41,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,28,27,27,27,26,26,25,24,24,23,23,24,24,24,25,25,26,27,27,28,28,29,29,29,29,29,29,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,,,,,,,,,,
42,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21,22,22,27,27,27,26,26,25,25,24,24,23,23,23,23,24,24,25,25,26,26,27,27,28,28,28,28,28,28,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,,,,,,,,,,
43,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,27,27,27,26,26,26,25,25,24,24,23,22,22,23,23,23,24,24,25,25,26,27,27,28,28,28,28,28,28,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,,,,,,,,,,
44,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,27,26,26,26,26,25,25,24,24,23,23,22,22,22,22,23,23,24,24,25,25,26,26,27,27,27,27,27,27,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,,,,,,,,,,
45,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,19,19,20,20,20,20,20,19,19,19,19,19,19,19,19,20,20,20,21,26,26,26,25,25,25,24,24,24,23,23,22,21,21,22,22,22,23,23,24,24,25,25,26,27,27,27,27,27,27,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,,,,,,,,,,
46,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,18,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,26,26,25,25,25,25,24,24,24,23,23,22,22,21,21,21,21,22,22,23,23,24,24,25,25,26,26,26,26,26,26,27,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,,,,,,,,,,
